10000,169078
20000,514614
30000,18004809
40000,2212593
50000,2272173
60000,19069316
70000,3011280
80000,164102
90000,130302
100000,242436
110000,207667
120000,172503
130000,263438
140000,193103
150000,80890878
160000,83736926
170000,93994803
180000,90260621
190000,95525227
200000,87144493
210000,65455159
220000,55330774
230000,85434880
240000,90534639
250000,87661788
260000,206455
270000,650464
280000,232899
290000,282958
300000,244085
310000,515674
320000,236652
330000,4852889
340000,151493
350000,347003
360000,258819
370000,9006002
380000,157562
390000,242038
400000,17758564
410000,27817000
420000,93348847
430000,6328433
440000,737227
450000,167048
460000,1966008
470000,1851521
480000,162184
490000,130498
500000,140184
510000,892581
520000,92205542
530000,97470329
540000,88196576
550000,87320258
560000,83667695
570000,92889274
580000,83236814
590000,93813976
600000,88449518
610000,87083630
620000,44135087
630000,928740
640000,332182
650000,125745
660000,138162
670000,139395
680000,140627
690000,120676
700000,139786
710000,120800
720000,146032
730000,122805
740000,140406
750000,123708
760000,1429756
770000,17247152
780000,79012680
790000,92883273
800000,85483725
810000,79491898
820000,91088282
830000,85623628
840000,86580027
850000,86934294
860000,85865044
870000,65208480
880000,3016627
890000,125653
900000,139644
910000,137646
920000,145557
930000,127030
940000,5191584
950000,5694085
960000,791440
970000,12742078
980000,1478587
990000,617639
1000000,11678632
1010000,209338
1020000,155689
1030000,122525
1040000,1155340
1050000,355496
1060000,212103
1070000,2911148
1080000,82110151
1090000,77012194
1100000,82543451
1110000,92725437
1120000,68173280
1130000,88254084
1140000,87705283
1150000,41343727
1160000,57524418
1170000,85755341
1180000,66272204
1190000,57364186
1200000,47236353
1210000,365817
1220000,912680
1230000,281607
1240000,574593
1250000,313947
1260000,209967
1270000,303708
1280000,245244
1290000,421259
1300000,354629
1310000,9057760
1320000,1479713
1330000,26433420
1340000,1513657
1350000,1327033
1360000,312244
1370000,217956
1380000,237853
1390000,179664
1400000,201095
1410000,144080
1420000,109580016
1430000,85545600
1440000,99487647
1450000,99864140
1460000,98345265
1470000,106830625
1480000,101460678
1490000,92104470
1500000,105057543
1510000,98263730
1520000,96552525
1530000,41492574
1540000,617374
1550000,2383386
1560000,193176
1570000,226579
1580000,214089
1590000,876437
1600000,4259599
1610000,4621020
1620000,367562
1630000,21902275
1640000,1624656
1650000,1948669
1660000,504426
1670000,200546
1680000,4283684
1690000,3667763
1700000,262842
1710000,281150
1720000,73867377
1730000,119196918
1740000,96938423
1750000,90365934
1760000,90167626
1770000,100337905
1780000,89935251
1790000,88558134
1800000,104415385
1810000,90858301
1820000,42720688
1830000,1225124
1840000,450569
1850000,340886
1860000,170047
1870000,836690
1880000,253831
1890000,246398
1900000,23840788
1910000,29106280
1920000,254169
1930000,25048662
1940000,705249
1950000,1343124
1960000,763311
1970000,5431173
1980000,362304
1990000,458333
2000000,198572
2010000,3512517
2020000,2726849
2030000,7192180
2040000,198727
2050000,53096049
2060000,91714746
2070000,99884828
2080000,88449995
2090000,98477202
2100000,101142770
2110000,69112642
2120000,30838008
2130000,85256700
2140000,96008399
2150000,96141159
2160000,461588
